Time (ms),Latitude,Longitude,Speed (kt),AccelX (g),AccelY,AccelZ,GyroX (dps),GyroY,GyroZ,MagX (uT),MagY,MagZ,Temp (C),Pressure (Pa),Alt (m)
94501.0,43.67809295654297,-79.5370864868164,0.0,0.05322265625,0.12158203125,0.98828125,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.506376266479492,27.756938934326172,56.11402893066406,24.09000015258789,99100.2578125,0.32764196395874023
94501.0,43.67809295654297,-79.5370864868164,0.0,0.05322265625,0.12158203125,0.98828125,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.506376266479492,27.756938934326172,56.11402893066406,24.09000015258789,99100.2578125,0.32764196395874023
94501.0,43.67809295654297,-79.5370864868164,0.0,0.05322265625,0.12158203125,0.98828125,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.506376266479492,27.756938934326172,56.11402893066406,24.09000015258789,99100.2578125,0.32764196395874023
94501.0,43.67809295654297,-79.5370864868164,0.0,0.05322265625,0.12158203125,0.98828125,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.506376266479492,27.756938934326172,56.11402893066406,24.09000015258789,99100.2578125,0.32764196395874023
95002.0,43.67809295654297,-79.5370864868164,0.0,0.05029296875,0.1181640625,0.98291015625,-1.2195122241973877,0.6707317233085632,-0.060975611209869385,25.656414031982422,29.107276916503906,56.56414031982422,24.09000015258789,99100.09375,0.34085333347320557
95002.0,43.67809295654297,-79.5370864868164,0.0,0.05029296875,0.1181640625,0.98291015625,-1.2195122241973877,0.6707317233085632,-0.060975611209869385,25.656414031982422,29.107276916503906,56.56414031982422,24.09000015258789,99100.09375,0.34085333347320557
95002.0,43.67809295654297,-79.5370864868164,0.0,0.05029296875,0.1181640625,0.98291015625,-1.2195122241973877,0.6707317233085632,-0.060975611209869385,25.656414031982422,29.107276916503906,56.56414031982422,24.09000015258789,99100.09375,0.34085333347320557
95002.0,43.67809295654297,-79.5370864868164,0.0,0.05029296875,0.1181640625,0.98291015625,-1.2195122241973877,0.6707317233085632,-0.060975611209869385,25.656414031982422,29.107276916503906,56.56414031982422,24.09000015258789,99100.09375,0.34085333347320557
95002.0,43.67809295654297,-79.5370864868164,0.0,0.05029296875,0.1181640625,0.98291015625,-1.2195122241973877,0.6707317233085632,-0.060975611209869385,25.656414031982422,29.107276916503906,56.56414031982422,24.09000015258789,99100.09375,0.34085333347320557
95002.0,43.67809295654297,-79.5370864868164,0.0,0.05029296875,0.1181640625,0.98291015625,-1.2195122241973877,0.6707317233085632,-0.060975611209869385,25.656414031982422,29.107276916503906,56.56414031982422,24.09000015258789,99100.09375,0.34085333347320557
95505.0,43.67809295654297,-79.5370864868164,0.0,0.06005859375,0.11962890625,0.990234375,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.656414031982422,26.856714248657227,56.26406478881836,24.09000015258789,99100.3359375,0.31971514225006104
95505.0,43.67809295654297,-79.5370864868164,0.0,0.06005859375,0.11962890625,0.990234375,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.656414031982422,26.856714248657227,56.26406478881836,24.09000015258789,99100.3359375,0.31971514225006104
95505.0,43.67809295654297,-79.5370864868164,0.0,0.06005859375,0.11962890625,0.990234375,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.656414031982422,26.856714248657227,56.26406478881836,24.09000015258789,99100.3359375,0.31971514225006104
95505.0,43.67809295654297,-79.5370864868164,0.0,0.06005859375,0.11962890625,0.990234375,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.656414031982422,26.856714248657227,56.26406478881836,24.09000015258789,99100.3359375,0.31971514225006104
95505.0,43.67809295654297,-79.5370864868164,0.0,0.06005859375,0.11962890625,0.990234375,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.656414031982422,26.856714248657227,56.26406478881836,24.09000015258789,99100.3359375,0.31971514225006104
95505.0,43.67809295654297,-79.5370864868164,0.0,0.06005859375,0.11962890625,0.990234375,-1.1585365533828735,0.6707317233085632,-0.060975611209869385,25.656414031982422,26.856714248657227,56.26406478881836,24.09000015258789,99100.3359375,0.31971514225006104
96009.0,43.67809295654297,-79.5370864868164,0.0,0.0458984375,0.11865234375,0.9990234375,-1.1585365533828735,0.6707317233085632,0.0,25.506376266479492,27.756938934326172,56.71417999267578,24.09000015258789,99100.3359375,0.31971514225006104
96009.0,43.67809295654297,-79.5370864868164,0.0,0.0458984375,0.11865234375,0.9990234375,-1.1585365533828735,0.6707317233085632,0.0,25.506376266479492,27.756938934326172,56.71417999267578,24.09000015258789,99100.3359375,0.31971514225006104
96009.0,43.67809295654297,-79.5370864868164,0.0,0.0458984375,0.11865234375,0.9990234375,-1.1585365533828735,0.6707317233085632,0.0,25.506376266479492,27.756938934326172,56.71417999267578,24.09000015258789,99100.3359375,0.31971514225006104
96009.0,43.67809295654297,-79.5370864868164,0.0,0.0458984375,0.11865234375,0.9990234375,-1.1585365533828735,0.6707317233085632,0.0,25.506376266479492,27.756938934326172,56.71417999267578,24.09000015258789,99100.3359375,0.31971514225006104
96009.0,43.67809295654297,-79.5370864868164,0.0,0.0458984375,0.11865234375,0.9990234375,-1.1585365533828735,0.6707317233085632,0.0,25.506376266479492,27.756938934326172,56.71417999267578,24.09000015258789,99100.3359375,0.31971514225006104
96009.0,43.67809295654297,-79.5370864868164,0.0,0.0458984375,0.11865234375,0.9990234375,-1.1585365533828735,0.6707317233085632,0.0,25.506376266479492,27.756938934326172,56.71417999267578,24.09000015258789,99100.3359375,0.31971514225006104
